*.csv - набор факторов, на котором тестировалось
L - объем выборки для обучения
T - объем выборки для тестирования

x: P R F1 A E
x - определяемое число
P - Предсказание
R - Полнота
F1 - метрика F1
A - Точность
E - Ошибочные


factors_true_all.csv
4: 0.467468 0.908583 0.617322 0.8891 0.1109
5: 0.451754 0.630145 0.526242 0.898 0.102
6: 0.451792 0.979449 0.618354 0.8794 0.1206
7: 0.835375 0.822876 0.829079 0.96485 0.03515
8: 0.382421 0.777023 0.512573 0.8585 0.1415
9: 0.227946 0.943769 0.367202 0.67895 0.32105

L = 1000 T = 20000
0: 0.989311 0.429603 0.599065 0.94425 0.05575
1: 0.944814 0.8722 0.907056 0.97965 0.02035
2: 0.730097 0.757301 0.74345 0.9481 0.0519
3: 0.805339 0.693155 0.745048 0.95045 0.04955
4: 0.887401 0.738228 0.80597 0.9649 0.0351
5: 0.764157 0.633352 0.692633 0.9491 0.0509
6: 0.891767 0.781928 0.833244 0.969 0.031
7: 0.879776 0.836725 0.85771 0.97135 0.02865
8: 0.35853 0.800418 0.495232 0.84385 0.15615
9: 0.436506 0.760585 0.554677 0.87885 0.12115

L = 5000 T = 20000
0: 0.938919 0.891684 0.914692 0.9838 0.0162
1: 0.927298 0.906571 0.916817 0.9816 0.0184
2: 0.902857 0.719636 0.800901 0.96465 0.03535
3: 0.854913 0.697971 0.768511 0.95545 0.04455
4: 0.921607 0.708713 0.80126 0.9653 0.0347
5: 0.66628 0.642058 0.653945 0.93925 0.06075
6: 0.958245 0.689761 0.802133 0.9666 0.0334
7: 0.862333 0.860687 0.861509 0.971 0.029
8: 0.303607 0.870582 0.450208 0.79545 0.20455
9: 0.731465 0.62807 0.675836 0.9399 0.0601

L = 10000 T = 20000
0: 0.856614 0.950719 0.901217 0.9797 0.0203
1: 0.953687 0.947298 0.950482 0.98895 0.01105
2: 0.57802 0.912955 0.707867 0.92555 0.07445
3: 0.859128 0.651653 0.741144 0.9525 0.0475
4: 0.793837 0.929842 0.856474 0.96935 0.03065
5: 0.527989 0.842337 0.649108 0.9174 0.0826
6: 0.897239 0.891315 0.894268 0.97925 0.02075
7: 0.768485 0.907443 0.832203 0.96165 0.03835
8: 0.593119 0.559217 0.575669 0.91995 0.08005
9: 0.797872 0.491927 0.608614 0.9373 0.0627

L = 20000 T = 20000
0: 0.924951 0.947106 0.935897 0.987 0.013
1: 0.848485 0.982232 0.910473 0.9788 0.0212
2: 0.755296 0.882323 0.813883 0.96005 0.03995
3: 0.786348 0.85494 0.81921 0.96085 0.03915
4: 0.917386 0.792754 0.850529 0.97385 0.02615
5: 0.816835 0.658881 0.729405 0.955 0.045
6: 0.918096 0.854714 0.885272 0.9785 0.0215
7: 0.687909 0.937119 0.793405 0.948 0.052
8: 0.352375 0.854389 0.498963 0.8309 0.1691
9: 0.817575 0.366584 0.506198 0.9283 0.0717


factors_without_matrix
L = 500 T = 20000
0: 0.998658 0.382323 0.552954 0.93985 0.06015
1: 0.946641 0.872256 0.907928 0.97985 0.02015
2: 0.942773 0.643788 0.765109 0.96055 0.03945
3: 0.792757 0.758787 0.7754 0.95435 0.04565
4: 0.945312 0.49162 0.646843 0.94715 0.05285
5: 0.351589 0.646274 0.455418 0.86105 0.13895
6: 0.990099 0.0501253 0.0954198 0.9052 0.0948
7: 0.8324 0.860521 0.846227 0.9676 0.0324
8: 0.894356 0.322715 0.47429 0.9315 0.0685
9: 0.13414 0.983283 0.236074 0.3719 0.6281

L = 1000 T = 20000
0: 0.99892 0.47705 0.645724 0.94925 0.05075
1: 0.83277 0.97321 0.897529 0.9747 0.0253
2: 0.953435 0.628902 0.757888 0.9601 0.0399
3: 0.972318 0.538056 0.692758 0.95015 0.04985
4: 0.767732 0.778228 0.772944 0.95485 0.04515
5: 0.987179 0.0850359 0.156584 0.91705 0.08295
6: 0.484902 0.972741 0.647187 0.89495 0.10505
7: 0.983607 0.639535 0.775103 0.9617 0.0383
8: 0.669098 0.76698 0.714703 0.9414 0.0586
9: 0.668715 0.603327 0.63434 0.931 0.069

L = 5000 T = 20000
0: 0.810197 0.970739 0.883232 0.975 0.025
1: 0.987412 0.87662 0.928724 0.98495 0.01505
2: 0.979149 0.570344 0.720819 0.95635 0.04365
3: 0.790181 0.805097 0.797569 0.9567 0.0433
4: 0.882011 0.844478 0.862836 0.9735 0.0265
5: 0.963068 0.379195 0.544141 0.9432 0.0568
6: 0.995434 0.111055 0.199817 0.9127 0.0873
7: 0.486707 0.969466 0.648063 0.88965 0.11035
8: 0.524424 0.887214 0.659201 0.91175 0.08825
9: 0.445103 0.940852 0.604314 0.8771 0.1229

L = 10000 T = 20000
0: 0.857078 0.969713 0.909923 0.9813 0.0187
1: 0.971055 0.928986 0.949555 0.98895 0.01105
2: 0.561832 0.931174 0.700819 0.92145 0.07855
3: 0.96168 0.625299 0.75784 0.9583 0.0417
4: 0.892876 0.860193 0.87623 0.9761 0.0239
5: 0.542302 0.862183 0.665815 0.9215 0.0785
6: 0.918219 0.900965 0.90951 0.98235 0.01765
7: 0.935586 0.84542 0.888221 0.9777 0.0223
